time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.70408528809305e-08,8.568004476130452e-07,10.007066568545238,0.000564639816842849,6.283061818572456,0.0,1.0005489105241209e-05,6.869000086716128e-05,0.23553270080832517,0.023593600330499922,-0.00653012417110508,0.0,478.6372057827491,478.1401052421079,476.65891249899676,478.4581550364251
0.12000000000000001,4.168833895351965e-06,2.1078493358868347e-05,10.023117189271101,0.0017916509879940534,6.283009775102139,0.0,0.00014567133348114444,0.0007339431310152606,0.29947273588668466,0.013277052920154648,0.008560902898787196,0.0,424.8205590248428,426.1123957993848,425.72442846297105,424.8409390558813
0.18,1.474795254988689e-05,0.00011042191384869797,10.04680379110526,0.0025600011137179024,6.283114083476006,0.0,0.00016470476987634304,0.0023343824363510983,0.4900175926175758,0.011846361109053344,-0.017618877964776646,0.0,465.6026188609102,463.5502411857561,465.2048372333908,465.09268829240034
0.23999999999999996,3.024750692003645e-05,0.000306107520166509,10.079243917569816,0.0031058661116594166,6.2818465771276095,0.0,0.0004695599986339243,0.004253229224381538,0.5912722345677028,0.0029393285868197466,-0.029267541975328548,0.0,437.6527571365365,436.6822621613158,438.33601314038543,437.5951919589731
0.3,9.635659420069021e-05,0.00063309213029515,10.119902959839822,0.003388914598452253,6.28016285505829,0.0,0.0019277359429512011,0.006672088166807364,0.7639288390852822,0.008055796264303153,-0.02575424524534601,0.0,459.94882082953905,460.2267591577253,459.236306426233,459.64182404593254
0.36000000000000004,0.0002802555594199229,0.0011050308276206236,10.168679154204295,0.0038204879818248827,6.278462479058611,0.0,0.004366452795348272,0.00910553937780136,0.861874363865248,0.005408633036120834,-0.03408819139662939,0.0,437.16859246650915,436.4734660459727,437.01438742554916,436.79360106666564
0.4200000000000001,0.0006419913171281063,0.001727793516557997,10.222274445078565,0.004660058094146713,6.276099869230965,0.0,0.00790095478673546,0.011712991634642872,0.9245849458493901,0.027202715703655244,-0.05289963895173575,0.0,426.23229013773414,424.62082954491035,424.99751460950444,426.861100823198
0.48000000000000015,0.0012855521496148337,0.0025412949592896836,10.282406122394244,0.006284677890500134,6.273973431917341,0.0,0.01382772079363335,0.015582419734864275,1.0796672091076203,0.026824403070958038,-0.013479200444142227,0.0,452.54717475334,455.7079049584193,455.7400295349655,455.7099456765708
0.5400000000000001,0.0023244804141537728,0.0036232089276060525,10.35187023607313,0.007671877807848837,6.272970083481482,0.0,0.020900627101641873,0.020646995115583554,1.2356452911974225,0.014432404990610567,-0.02415911347204091,0.0,456.1049130728451,455.2513413870349,455.82398635362205,454.8327607481081
0.6000000000000002,0.003828989592299818,0.005049552077625529,10.432303795856827,0.008429540503916755,6.271988073107051,0.0,0.029386913864655133,0.026992143460406747,1.445229782541457,0.00874922944270225,-0.0041270960400496435,0.0,472.0228382461159,473.56611525336666,471.2458067938293,470.8062181345688
0.6600000000000003,0.005868262063653974,0.0068783720784078226,10.525915539356985,0.008834474798302239,6.271333108022837,0.0,0.03863318916269258,0.034022613009742915,1.674852860001332,0.0024135909848879426,-0.030127118175461126,0.0,479.07690131965643,477.0961556236666,478.7371015010413,478.2547230757059
0.7200000000000003,0.008412082693475898,0.009084754879257983,10.627289760393777,0.009609756733071961,6.269682910474131,0.0,0.04631812904923752,0.03957027887437802,1.704241696643856,0.028336684733468134,-0.02271433472572715,0.0,415.8817885644415,416.5302635360959,416.1486890096137,418.41144776865116
0.7800000000000004,0.011458174842425752,0.01165165034850206,10.7312914135989,0.011436464174079397,6.268107762113772,0.0,0.05535663625955318,0.046161208979777886,1.7623879689121693,0.03435903725197422,-0.034481469501898274,0.0,427.18462915686666,426.17991507772206,425.73694630390503,426.2522282562238
0.8400000000000004,0.015097874361992454,0.014665268339019023,10.840007313068382,0.013655899734186683,6.2665758386801365,0.0,0.06614321506949389,0.05450924451285181,1.8613133007768823,0.041792110042926676,-0.011888977220180931,0.0,438.13956371131155,440.0135401455426,439.9072076408986,440.52288008553296
0.9000000000000005,0.019508323644785233,0.018308782264835226,10.960413656534028,0.016464334763928612,6.2657361474953195,0.0,0.08096383322457643,0.06728199166192621,2.1517240543515297,0.05531158202282175,-0.018579520172891096,0.0,497.38337248613567,496.8933041178963,496.15697552742745,497.1495157790254
0.9600000000000005,0.02479303854480463,0.022760033891028018,11.096036441616782,0.02063538880747995,6.264622628350043,0.0,0.09531858570028023,0.08154341123156239,2.3686002412188705,0.08865414856350338,-0.018516952543642468,0.0,476.7097278083023,476.7145902200553,475.82812167392467,478.3767316322214
1.0200000000000005,0.03086630162712123,0.02806053108772314,11.239358864629777,0.025982314276202345,6.26327164329185,0.0,0.10723498978657006,0.09563462155352326,2.4087151775981606,0.09002174750697242,-0.03203773291728879,0.0,423.18248083492915,422.016970954245,423.5902181437294,423.7148532774151
1.0800000000000005,0.03773468167183292,0.034376987571329516,11.387645394144869,0.031650771807216316,6.261338836748983,0.0,0.12190915163347904,0.11549279800814376,2.533877164946475,0.1021479769867997,-0.03256712864458786,0.0,450.67024830019625,450.6270886221685,449.82114920226354,450.80941731897263
1.1400000000000006,0.04549868646273214,0.041972688588212084,11.542325892614556,0.03799916253465874,6.260463363295608,0.0,0.1370145408298198,0.13831654750471564,2.6219144539306356,0.11226491725286564,0.007787605314488176,0.0,438.04896362033736,441.391829105771,438.8155066515089,439.66439500736504
